Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
akarnokd-misc,hu.akarnokd.rxjava3,ShareExample,main,21,1,1,8,0,,
akarnokd-misc,hu.akarnokd.rxjava3,ParallelFromBatchPublisher,ParallelFromBatchPublisher,5,1,3,23,0,,
akarnokd-misc,hu.akarnokd.rxjava3,ParallelFromBatchPublisher,parallelism,3,1,0,29,0,,
akarnokd-misc,hu.akarnokd.rxjava3,ParallelFromBatchPublisher,subscribe,6,2,1,34,0,,
akarnokd-misc,hu.akarnokd.rxjava2,Timeout800Test,test,12,1,0,12,1,,
akarnokd-misc,hu.akarnokd.rxjava2,FlatMapIterableSharedTest,test,11,2,0,10,1,,
akarnokd-misc,hu.akarnokd.rxjava2,FlatMapIterableSharedTest,test2,11,2,0,29,1,,
akarnokd-misc,hu.akarnokd.rxjava2,SubjectRaceTest,main,10,1,1,15,0,hu.akarnokd.rxjava2.SubjectRaceTest,hu.akarnokd.rxjava2.SubjectRaceTest
akarnokd-misc,hu.akarnokd.rxjava2,SubjectRaceTest,subscribeToSubject,4,1,0,29,0,,
akarnokd-misc,hu.akarnokd.rxjava2,SubjectRaceTest,getAndObserve,4,1,1,40,0,,
akarnokd-misc,hu.akarnokd.rxjava2,SubjectRaceTest,sendEvents,14,3,0,50,0,,
akarnokd-misc,hu.akarnokd.rxjava2,FlatMapCompletableThread,test,12,2,0,14,1,,
akarnokd-misc,hu.akarnokd.rxjava2,PublishRefCountPublishTest,test,5,1,0,11,1,,
akarnokd-misc,hu.akarnokd.rxjava2,PublishRefCountPublishTest,test2,5,1,0,27,1,,
akarnokd-misc,hu.akarnokd.rxjava2,BasicPrint2,BasicPrint2,2,1,0,9,0,,
akarnokd-misc,hu.akarnokd.rxjava2,BasicPrint2,main,24,1,1,10,0,,
akarnokd-misc,hu.akarnokd.rxjava2,BasicPrint2,onStart,3,1,0,16,0,,
akarnokd-misc,hu.akarnokd.rxjava2,BasicPrint2,onNext,10,1,1,21,0,,
akarnokd-misc,hu.akarnokd.rxjava2,BasicPrint2,onError,3,1,1,32,0,,
akarnokd-misc,hu.akarnokd.rxjava2,BasicPrint2,onCompleted,2,1,0,37,0,,
akarnokd-misc,hu.akarnokd.rxjava2,RefCountTrackingTest,test,17,1,0,12,1,,
akarnokd-misc,hu.akarnokd.rxjava2,RetryWhenTest,test,54,1,0,15,1,,
akarnokd-misc,hu.akarnokd.rxjava2,RetryWhenTest,apply,4,1,1,20,0,,
akarnokd-misc,hu.akarnokd.rxjava2,RetryWhenTest,apply,4,1,1,28,0,,
akarnokd-misc,hu.akarnokd.rxjava2,RetryWhenTest,apply,3,1,1,35,0,,
akarnokd-misc,hu.akarnokd.rxjava2,RetryWhenTest,apply,14,1,1,41,0,,
akarnokd-misc,hu.akarnokd.rxjava2,RetryWhenTest,test,3,1,1,46,0,,
akarnokd-misc,hu.akarnokd.rxjava2,RetryWhenTest,apply,3,1,1,52,0,,
akarnokd-misc,hu.akarnokd.rxjava2,RetryWhenTest,onSubscribe,4,1,1,60,0,,
akarnokd-misc,hu.akarnokd.rxjava2,RetryWhenTest,onNext,3,1,1,66,0,,
akarnokd-misc,hu.akarnokd.rxjava2,RetryWhenTest,onError,4,1,1,71,0,,
akarnokd-misc,hu.akarnokd.rxjava2,RetryWhenTest,onComplete,3,1,0,77,0,,
akarnokd-misc,hu.akarnokd.rxjava2,PartialCollectTest,partialCollect,3,1,1,27,0,,
akarnokd-misc,hu.akarnokd.rxjava2,ErrorRemap,test,3,1,0,11,1,,
akarnokd-misc,hu.akarnokd.rxjava2,RefCountRace,replayRefCountShallBeThreadSafe,9,2,0,12,1,,
akarnokd-misc,hu.akarnokd.rxjava2,SomeSharedFlow,test,14,2,0,12,1,,
akarnokd-misc,hu.akarnokd.rxjava2,ConcatMapDelayTest,publisherOfPublisherDelayErrorX,3,1,0,8,1,,
akarnokd-misc,hu.akarnokd.rxjava2,ConcatMapDelayTest,publisherOfPublisherDelayErrorX2,3,1,0,19,1,,
akarnokd-misc,hu.akarnokd.rxjava2,ZipCrash,testUncaughtException,20,1,0,13,1,,
